0.66 0.54:  0.3295, [ -0.163,   0.287]
0.66 0.58:  0.5125, [ -0.377,   0.348]
0.66 0.62:  0.6273, [ -0.297,   0.553]
0.66 0.66:  0.6739, [ -0.327,   0.589]
0.66 0.70:  0.3989, [ -0.173,   0.359]
0.66 0.74:  0.8182, [ -0.347,   0.741]
0.66 0.79:  1.0093, [ -0.381,   0.935]
0.70 0.00:  0.2616, [ -0.228,   0.128]
0.70 0.04:  0.2287, [ -0.192,   0.124]
0.70 0.08:  0.1522, [ -0.112,   0.103]
0.70 0.12:  0.1279, [ -0.099,   0.080]
0.70 0.17:  0.1583, [ -0.142,   0.070]
0.70 0.21:  0.1819, [ -0.176,   0.047]
0.70 0.25:  0.2186, [ -0.212,   0.053]
0.70 0.29:  0.2710, [ -0.253,   0.096]
0.70 0.33:  0.2698, [ -0.229,   0.143]
0.70 0.37:  0.2948, [ -0.267,   0.126]
0.70 0.41:  0.3343, [ -0.255,   0.217]
0.70 0.45:  0.4025, [ -0.396,  -0.072]
0.70 0.50:  0.2845, [ -0.270,  -0.090]
0.70 0.54:  0.2698, [ -0.265,  -0.048]
0.70 0.58:  0.3871, [ -0.277,   0.271]
0.70 0.62:  0.5436, [ -0.396,   0.372]
0.70 0.66:  0.5155, [ -0.332,   0.395]
0.70 0.70:  0.7039, [ -0.558,   0.429]
0.70 0.74:  0.9118, [ -0.504,   0.760]
0.70 0.79:  1.0530, [ -0.440,   0.957]
0.74 0.00:  0.2558, [ -0.195,   0.165]
0.74 0.04:  0.2641, [ -0.217,   0.150]
0.74 0.08:  0.1719, [ -0.137,   0.104]
0.74 0.12:  0.1272, [ -0.107,   0.069]
0.74 0.17:  0.1200, [ -0.104,   0.060]
0.74 0.21:  0.1442, [ -0.138,   0.041]
0.74 0.25:  0.2006, [ -0.193,   0.055]
0.74 0.29:  0.2059, [ -0.193,   0.073]
0.74 0.33:  0.2823, [ -0.264,   0.100]
0.74 0.37:  0.2775, [ -0.198,   0.194]
0.74 0.41:  0.2726, [ -0.206,   0.179]
0.74 0.45:  0.3465, [ -0.228,   0.261]
0.74 0.50:  0.2451, [ -0.243,  -0.030]
0.74 0.54:  0.3725, [ -0.326,  -0.180]
0.74 0.58:  0.5314, [ -0.245,   0.472]
0.74 0.62:  0.6322, [ -0.363,   0.518]
0.74 0.66:  0.6308, [ -0.262,   0.574]
0.74 0.70:  0.7724, [ -0.237,   0.735]
0.74 0.74:  0.8507, [ -0.466,   0.712]
0.74 0.79:  0.9230, [ -0.389,   0.837]
0.79 0.00:  0.4196, [ -0.366,   0.206]
0.79 0.04:  0.2319, [ -0.134,   0.189]
0.79 0.08:  0.1688, [ -0.040,   0.164]
0.79 0.12:  0.1119, [ -0.071,   0.087]
0.79 0.17:  0.0915, [  0.011,   0.091]
0.79 0.21:  0.2557, [ -0.182,   0.179]
0.79 0.25:  0.1160, [ -0.115,   0.012]
0.79 0.29:  0.1235, [ -0.114,   0.048]
0.79 0.33:  0.2278, [ -0.203,   0.103]
0.79 0.37:  0.3694, [ -0.366,   0.048]
0.79 0.41:  0.1840, [ -0.082,  -0.165]
0.79 0.45:  0.1703, [ -0.066,   0.157]
0.79 0.50:  0.4586, [ -0.168,   0.427]
0.79 0.54:  0.1769, [ -0.039,  -0.173]
0.79 0.58:  0.4492, [ -0.040,   0.447]
0.79 0.62:  0.7212, [ -0.472,   0.546]
0.79 0.66:  0.5641, [ -0.056,   0.561]
0.79 0.70:  0.8340, [ -0.315,   0.772]
0.79 0.74:  0.7585, [ -0.289,   0.701]
0.79 0.79:  0.6625, [ -0.008,   0.662]
(4.6879613896480201, 0.082673490883941922, 0.78539816339744828)
